行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/領域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益,緯度,経度,地域マネージャー,予算,返品
2199,JP-2019-1283133,2019-11-25 00:00:00,2019-11-28 00:00:00,ファースト クラス,満和-10705,満永 和美,消費者,帯広市,北海道,日本,北海道,家電-電話-10002322,家電,電話機,"アップル オーディオ ドック, フル サイズ",20181.6,3,0.4,-13199.4,43.0642,141.3469,宮前 誠,20000000,
2200,JP-2019-2045798,2019-09-22 00:00:00,2019-09-25 00:00:00,ファースト クラス,常翔-13315,常岡 翔太,消費者,松山市,愛媛県,日本,四国,事務用-アプ-10002383,事務用品,アプライアンス,"キッチンエイド ミキサー, 赤",13180,2,0,3556,33.8416,132.7657,川波 結菜,20000000,
2201,JP-2019-2093293,2019-05-07 00:00:00,2019-05-14 00:00:00,通常配送,下恵-20980,下谷 恵介,大企業,朝霞市,埼玉県,日本,関東地方,事務用-ラベ-10000216,事務用品,ラベル,"Hon 色分けラベル, 高耐久性",2640,3,0,444,35.8569,139.6489,中吉 孝,50000000,○
2202,JP-2019-1388533,2019-04-22 00:00:00,2019-04-27 00:00:00,通常配送,蘇真-21160,蘇武 真一,大企業,九戸郡九戸村,岩手県,日本,東北地方,事務用-封筒-10000565,事務用品,封筒,"Ames 各種封筒, リサイクル",4158,3,0.4,-1596,39.7036,141.1527,駒田 静香,20000000,
2203,JP-2019-1699495,2019-10-23 00:00:00,2019-10-30 00:00:00,通常配送,山海-13660,山仲 海斗,消費者,飯田市,長野県,日本,中部地方,家具-家具-10002886,家具,家具,"Advantus ドア ストッパー, プレミアム",8730,3,0,258,36.6513,138.1812,辻岡 美羽,40000000,
2204,JP-2019-1699495,2019-10-23 00:00:00,2019-10-30 00:00:00,通常配送,山海-13660,山仲 海斗,消費者,飯田市,長野県,日本,中部地方,家具-椅子-10001232,家具,椅子,"Novimex 折り畳み式の椅子, 黒",10640,2,0,3296,36.6513,138.1812,辻岡 美羽,40000000,
2205,JP-2018-2095007,2018-08-14 00:00:00,2018-08-16 00:00:00,セカンド クラス,磯陽-12220,磯上 陽子,消費者,西宇和郡伊方町,愛媛県,日本,四国,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",39220,10,0,6260,33.8416,132.7657,川波 結菜,20000000,
2206,JP-2019-1218022,2019-06-23 00:00:00,2019-06-26 00:00:00,ファースト クラス,久螢-10075,久世 螢,大企業,習志野市,千葉県,日本,関東地方,事務用-保管-10000097,事務用品,保管箱,"Fellowes ファイル カート, フル サイズ",16480.8,3,0.4,-10732.2,35.6046,140.1233,中吉 孝,50000000,
2207,JP-2019-1266061,2019-07-03 00:00:00,2019-07-07 00:00:00,通常配送,積千-19675,積田 千代,小規模事業所,一関市,岩手県,日本,東北地方,事務用-封筒-10001374,事務用品,封筒,"GlobeWeis テープ付き, リサイクル",2422.8,3,0.4,280.8,39.7036,141.1527,駒田 静香,20000000,
2208,JP-2019-1266061,2019-07-03 00:00:00,2019-07-07 00:00:00,通常配送,積千-19675,積田 千代,小規模事業所,一関市,岩手県,日本,東北地方,事務用-クリ-10004345,事務用品,クリップ,"Advantus 輪ゴム, 各種サイズ",2808,5,0.4,-1362,39.7036,141.1527,駒田 静香,20000000,
2209,JP-2019-1266061,2019-07-03 00:00:00,2019-07-07 00:00:00,通常配送,積千-19675,積田 千代,小規模事業所,一関市,岩手県,日本,東北地方,事務用-バイ-10000336,事務用品,バインダー,"Ibico バインダー, 高耐久性",2037.6,3,0.4,-1124.4,39.7036,141.1527,駒田 静香,20000000,
2210,JP-2017-1959871,2017-11-06 00:00:00,2017-11-10 00:00:00,通常配送,木匠-17095,木塚 匠,消費者,加古川市,兵庫県,日本,関西地方,家具-本棚-10002507,家具,本棚,"Bush 書庫, 従来型",48576,2,0,8256,34.6913,135.183,金児 皐,50000000,○
2211,JP-2019-1432057,2019-06-13 00:00:00,2019-06-18 00:00:00,通常配送,内正-17575,内田 正,消費者,横手市,秋田県,日本,東北地方,家具-椅子-10002273,家具,椅子,"Office Star 肘掛け椅子, 調整可能",62656,2,0,7516,39.7186,140.1024,駒田 静香,20000000,
2212,JP-2016-1707779,2016-09-27 00:00:00,2016-09-29 00:00:00,ファースト クラス,大千-21490,大矢 千代子,消費者,八戸市,青森県,日本,東北地方,事務用-バイ-10002442,事務用品,バインダー,"Avery 穴あけパンチ, エコノミー",3716,2,0,704,40.8244,140.74,駒田 静香,20000000,
2213,JP-2017-1284304,2017-03-23 00:00:00,2017-03-28 00:00:00,通常配送,雨武-19840,雨宮 武,消費者,江別市,北海道,日本,北海道,家電-付属-10000258,家電,付属品,"ベルキン キーパッド, リサイクル",13334.4,6,0.4,-4005.6,43.0642,141.3469,宮前 誠,20000000,
2214,JP-2017-1284304,2017-03-23 00:00:00,2017-03-28 00:00:00,通常配送,雨武-19840,雨宮 武,消費者,江別市,北海道,日本,北海道,事務用-紙-10003283,事務用品,紙,"エナーマックス スケジュール帳, 12 パック",9590.4,9,0.4,-5439.6,43.0642,141.3469,宮前 誠,20000000,
2215,JP-2017-1111694,2017-10-21 00:00:00,2017-10-27 00:00:00,通常配送,辻美-10015,辻岡 美羽,消費者,東村山郡中山町,山形県,日本,東北地方,家電-コピ-10003446,家電,コピー機,"HP インク, 2 つセット",8580,1,0,4290,38.2404,140.3633,駒田 静香,20000000,
2216,JP-2018-1406102,2018-07-25 00:00:00,2018-07-27 00:00:00,ファースト クラス,内正-17575,内田 正,消費者,茅ヶ崎市,神奈川県,日本,関東地方,事務用-封筒-10001332,事務用品,封筒,"Jiffy クラフト封筒, シルバー",2184,3,0,846,35.4478,139.6425,中吉 孝,50000000,
2217,JP-2018-1406102,2018-07-25 00:00:00,2018-07-27 00:00:00,ファースト クラス,内正-17575,内田 正,消費者,茅ヶ崎市,神奈川県,日本,関東地方,家具-本棚-10000752,家具,本棚,"Safco コーナー シェルフ, 白",30396,3,0,14586,35.4478,139.6425,中吉 孝,50000000,
2218,JP-2016-1064191,2016-08-12 00:00:00,2016-08-16 00:00:00,通常配送,山真-14350,山脇 真美,消費者,茨木市,大阪府,日本,関西地方,事務用-クリ-10001349,事務用品,クリップ,"OIC 押しピン, 各種サイズ",7416,9,0,360,34.6937,135.5023,金児 皐,50000000,○
2219,JP-2016-1064191,2016-08-12 00:00:00,2016-08-16 00:00:00,通常配送,山真-14350,山脇 真美,消費者,茨木市,大阪府,日本,関西地方,事務用-アプ-10000948,事務用品,アプライアンス,"ブレビル ミキサー, 白",11784,2,0,5892,34.6937,135.5023,金児 皐,50000000,○
2220,JP-2016-1064191,2016-08-12 00:00:00,2016-08-16 00:00:00,通常配送,山真-14350,山脇 真美,消費者,茨木市,大阪府,日本,関西地方,事務用-保管-10002336,事務用品,保管箱,"Rogers ファイル カート, 業務用",9472,1,0,1894,34.6937,135.5023,金児 皐,50000000,○
2221,JP-2018-1180238,2018-09-09 00:00:00,2018-09-12 00:00:00,ファースト クラス,川進-19615,川久保 進,消費者,磐田市,静岡県,日本,中部地方,事務用-アプ-10003146,事務用品,アプライアンス,"フーバー コーヒーミル, 黒",19101.6,7,0.4,-9234.4,34.9769,138.3831,辻岡 美羽,40000000,
2222,JP-2019-1338137,2019-08-26 00:00:00,2019-08-27 00:00:00,ファースト クラス,安七-15190,安嶋 七海,消費者,鶴岡市,山形県,日本,東北地方,事務用-画材-10001761,事務用品,画材,"Boston スケッチ帳, メタル",13296,4,0,1992,38.2404,140.3633,駒田 静香,20000000,
2223,JP-2016-2103246,2016-10-08 00:00:00,2016-10-12 00:00:00,通常配送,内学-13300,内河 学,大企業,新宿区,東京都,日本,関東地方,家電-電話-10001154,家電,電話機,"モトローラ 充電器, 各種サイズ",109741.8,3,0.15,-19111.2,35.6895,139.6917,中吉 孝,50000000,
2224,JP-2018-2103600,2018-08-16 00:00:00,2018-08-23 00:00:00,通常配送,花健-15925,花形 健太,消費者,東村山郡中山町,山形県,日本,東北地方,家具-本棚-10003088,家具,本棚,"Safco キャビネット, 黒",56730,5,0,13610,38.2404,140.3633,駒田 静香,20000000,
2225,JP-2018-2103600,2018-08-16 00:00:00,2018-08-23 00:00:00,通常配送,花健-15925,花形 健太,消費者,東村山郡中山町,山形県,日本,東北地方,事務用-文房-10000785,事務用品,文房具,"Stiletto 大型のはさみ, 青",19236,6,0,8652,38.2404,140.3633,駒田 静香,20000000,
2226,JP-2016-1936019,2016-05-22 00:00:00,2016-05-25 00:00:00,セカンド クラス,柳法-19495,柳岡 法子,消費者,生駒市,奈良県,日本,関西地方,事務用-クリ-10000604,事務用品,クリップ,"Advantus 画鋲, 各種サイズ",883.2,2,0.4,-280.8,34.6851,135.8048,金児 皐,50000000,
2227,JP-2016-1936019,2016-05-22 00:00:00,2016-05-25 00:00:00,セカンド クラス,柳法-19495,柳岡 法子,消費者,生駒市,奈良県,日本,関西地方,家具-家具-10003140,家具,家具,"Rubvermaid 積み重ねトレイ, 黒",1005.6,1,0.4,-152.4,34.6851,135.8048,金児 皐,50000000,
2228,JP-2019-1159645,2019-09-04 00:00:00,2019-09-07 00:00:00,セカンド クラス,藤久-13120,藤曲 久美子,大企業,市川市,千葉県,日本,関東地方,事務用-紙-10000166,事務用品,紙,"Green Bar リーム, 12 パック",2712,2,0.4,-1312,35.6046,140.1233,中吉 孝,50000000,
2229,JP-2017-2104434,2017-12-02 00:00:00,2017-12-06 00:00:00,通常配送,向太-17860,向田 太陽,大企業,沖縄市,沖縄県,日本,九州,事務用-文房-10003621,事務用品,文房具,"Kleencut カッター ナイフ, スチール",6810,3,0,2652,26.2124,127.6809,矢幡 翔太,35000000,
2230,JP-2017-2104434,2017-12-02 00:00:00,2017-12-06 00:00:00,通常配送,向太-17860,向田 太陽,大企業,沖縄市,沖縄県,日本,九州,事務用-紙-10002697,事務用品,紙,"エナーマックス 硫酸紙, 12 パック",6510,5,0,1360,26.2124,127.6809,矢幡 翔太,35000000,
2231,JP-2018-2105255,2018-05-09 00:00:00,2018-05-11 00:00:00,セカンド クラス,青大-20215,青木 大樹,消費者,豊田市,愛知県,日本,中部地方,事務用-保管-10001768,事務用品,保管箱,"Rogers フォルダ, 青",4092,2,0,170,35.1802,136.9066,辻岡 美羽,40000000,
2232,JP-2019-2095007,2019-09-18 00:00:00,2019-09-22 00:00:00,通常配送,井修-11815,井藤 修,大企業,横手市,秋田県,日本,東北地方,家具-椅子-10004012,家具,椅子,"SAFCO 折り畳み式の椅子, 調整可能",41160,7,0,13580,39.7186,140.1024,駒田 静香,20000000,
2233,JP-2018-2106267,2018-05-28 00:00:00,2018-06-02 00:00:00,通常配送,花大-11545,花野 大輔,大企業,野田市,千葉県,日本,関東地方,家電-電話-10001539,家電,電話機,"サムスン ヘッドセット, フル サイズ",2979.6,1,0.4,-1901.4,35.6046,140.1233,中吉 孝,50000000,
2234,JP-2019-2082274,2019-05-15 00:00:00,2019-05-19 00:00:00,通常配送,宇彩-21610,宇都 彩花,消費者,いわき市,福島県,日本,東北地方,事務用-アプ-10004595,事務用品,アプライアンス,"フーバー トースター, 黒",26582.4,8,0.4,-7545.6,37.7503,140.4676,駒田 静香,20000000,
2235,JP-2016-1397098,2016-03-30 00:00:00,2016-04-03 00:00:00,通常配送,我大-12850,我孫子 大輝,消費者,相模原市中央区,神奈川県,日本,関東地方,事務用-封筒-10000412,事務用品,封筒,"Kraft 各種封筒, リサイクル",21870,9,0,10278,35.4478,139.6425,中吉 孝,50000000,
2236,JP-2016-1397098,2016-03-30 00:00:00,2016-04-03 00:00:00,通常配送,我大-12850,我孫子 大輝,消費者,相模原市中央区,神奈川県,日本,関東地方,家具-椅子-10004906,家具,椅子,"Novimex ビーチ チェア, 調整可能",6460,2,0,2064,35.4478,139.6425,中吉 孝,50000000,
2237,JP-2016-1397098,2016-03-30 00:00:00,2016-04-03 00:00:00,通常配送,我大-12850,我孫子 大輝,消費者,相模原市中央区,神奈川県,日本,関東地方,事務用-封筒-10004361,事務用品,封筒,"Cameo テープ付き, 50 枚セット",5600,4,0,1288,35.4478,139.6425,中吉 孝,50000000,
2238,JP-2019-2109071,2019-12-02 00:00:00,2019-12-09 00:00:00,通常配送,大美-13750,大門 美優,大企業,松前町,北海道,日本,北海道,事務用-クリ-10002490,事務用品,クリップ,"OIC 輪ゴム, 12 パック",2640,4,0.4,-1496,43.0642,141.3469,宮前 誠,20000000,
2239,JP-2019-2109071,2019-12-02 00:00:00,2019-12-09 00:00:00,通常配送,大美-13750,大門 美優,大企業,松前町,北海道,日本,北海道,事務用-紙-10000157,事務用品,紙,"Green Bar ノート, プレミアム",5958,5,0.4,-3182,43.0642,141.3469,宮前 誠,20000000,
2240,JP-2016-2049883,2016-05-03 00:00:00,2016-05-08 00:00:00,セカンド クラス,手一-14380,手塚 一樹,消費者,田川郡川崎町,福岡県,日本,九州,事務用-封筒-10001332,事務用品,封筒,"Jiffy クラフト封筒, シルバー",1456,2,0,564,33.6064,130.4181,矢幡 翔太,35000000,○
2241,JP-2016-2049883,2016-05-03 00:00:00,2016-05-08 00:00:00,セカンド クラス,手一-14380,手塚 一樹,消費者,田川郡川崎町,福岡県,日本,九州,家電-電話-10001320,家電,電話機,"サムスン ヘッドセット, 大容量パック",9772,2,0,2052,33.6064,130.4181,矢幡 翔太,35000000,○
2242,JP-2016-2049883,2016-05-03 00:00:00,2016-05-08 00:00:00,セカンド クラス,手一-14380,手塚 一樹,消費者,田川郡川崎町,福岡県,日本,九州,事務用-ラベ-10000898,事務用品,ラベル,"Avery 取り外し可能ラベル, 白",2148,3,0,576,33.6064,130.4181,矢幡 翔太,35000000,○
2243,JP-2019-1037654,2019-05-27 00:00:00,2019-05-31 00:00:00,通常配送,谷大-14605,谷奥 大地,消費者,岡崎市,愛知県,日本,中部地方,家電-コピ-10003589,家電,コピー機,"キヤノン コピー機, 2 つセット",52428,3,0,3666,35.1802,136.9066,辻岡 美羽,40000000,
2244,JP-2019-1037654,2019-05-27 00:00:00,2019-05-31 00:00:00,通常配送,谷大-14605,谷奥 大地,消費者,岡崎市,愛知県,日本,中部地方,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",31376,8,0,5008,35.1802,136.9066,辻岡 美羽,40000000,
2245,JP-2017-1389235,2017-09-26 00:00:00,2017-09-30 00:00:00,通常配送,野法-21445,野林 法子,大企業,いわき市,福島県,日本,東北地方,事務用-アプ-10004788,事務用品,アプライアンス,"ブレビル トースター, シルバー",6196.8,2,0.4,-1551.2,37.7503,140.4676,駒田 静香,20000000,
2246,JP-2017-1389235,2017-09-26 00:00:00,2017-09-30 00:00:00,通常配送,野法-21445,野林 法子,大企業,いわき市,福島県,日本,東北地方,事務用-紙-10003566,事務用品,紙,"サンディスク メモ用紙, リサイクル",2026.8,3,0.4,-1321.2,37.7503,140.4676,駒田 静香,20000000,
2247,JP-2017-1389235,2017-09-26 00:00:00,2017-09-30 00:00:00,通常配送,野法-21445,野林 法子,大企業,いわき市,福島県,日本,東北地方,事務用-バイ-10000336,事務用品,バインダー,"Ibico バインダー, 高耐久性",1358.4,2,0.4,-749.6,37.7503,140.4676,駒田 静香,20000000,
2248,JP-2017-1389235,2017-09-26 00:00:00,2017-09-30 00:00:00,通常配送,野法-21445,野林 法子,大企業,いわき市,福島県,日本,東北地方,事務用-紙-10001633,事務用品,紙,"サンディスク 事務用品, 12 パック",6307.2,3,0.4,-844.8,37.7503,140.4676,駒田 静香,20000000,
2249,JP-2018-2117529,2018-08-06 00:00:00,2018-08-08 00:00:00,セカンド クラス,薄実-10945,薄木 実,消費者,安城市,愛知県,日本,中部地方,家具-椅子-10003640,家具,椅子,"Office Star スツール, 赤",11596,1,0,230,35.1802,136.9066,辻岡 美羽,40000000,
2250,JP-2017-2117732,2017-11-15 00:00:00,2017-11-16 00:00:00,ファースト クラス,川学-20470,川股 学,消費者,青森市,青森県,日本,東北地方,家電-コピ-10000559,家電,コピー機,"ブラザー 無線ファックス, カラー",76050,3,0,0,40.8244,140.74,駒田 静香,20000000,
2251,JP-2017-2117732,2017-11-15 00:00:00,2017-11-16 00:00:00,ファースト クラス,川学-20470,川股 学,消費者,青森市,青森県,日本,東北地方,事務用-文房-10003112,事務用品,文房具,"Stiletto はさみ, スチール",6136,4,0,792,40.8244,140.74,駒田 静香,20000000,
2252,JP-2017-2117732,2017-11-15 00:00:00,2017-11-16 00:00:00,ファースト クラス,川学-20470,川股 学,消費者,青森市,青森県,日本,東北地方,家具-椅子-10000530,家具,椅子,"Office Star 折り畳み式の椅子, 調整可能",31400,5,0,4710,40.8244,140.74,駒田 静香,20000000,
2253,JP-2017-2117732,2017-11-15 00:00:00,2017-11-16 00:00:00,ファースト クラス,川学-20470,川股 学,消費者,青森市,青森県,日本,東北地方,家具-本棚-10000865,家具,本棚,"Dania クラシック スタイルの本棚, 黒",82422,3,0,10710,40.8244,140.74,駒田 静香,20000000,
2254,JP-2019-2118424,2019-11-11 00:00:00,2019-11-17 00:00:00,通常配送,薄実-10945,薄木 実,消費者,大牟田市,福岡県,日本,九州,事務用-ラベ-10003335,事務用品,ラベル,"Hon 取り外し可能ラベル, 白",684,1,0,224,33.6064,130.4181,矢幡 翔太,35000000,
2255,JP-2018-1291925,2018-06-26 00:00:00,2018-06-30 00:00:00,通常配送,古寛-10600,古牧 寛,大企業,田川郡川崎町,福岡県,日本,九州,家具-椅子-10004595,家具,椅子,"SAFCO ロッキング チェア, 黒",52992,6,0,16956,33.6064,130.4181,矢幡 翔太,35000000,
2256,JP-2019-1348447,2019-02-08 00:00:00,2019-02-10 00:00:00,ファースト クラス,駒静-19285,駒田 静香,消費者,雲南市,島根県,日本,中国地方,事務用-紙-10004089,事務用品,紙,"Green Bar リーム, マルチカラー",4156,2,0,1036,35.4723,133.0505,雨宮 武,30000000,
2257,JP-2019-1348447,2019-02-08 00:00:00,2019-02-10 00:00:00,ファースト クラス,駒静-19285,駒田 静香,消費者,雲南市,島根県,日本,中国地方,家具-家具-10002820,家具,家具,"Tenex 電球, プレミアム",4680,4,0,1728,35.4723,133.0505,雨宮 武,30000000,
2258,JP-2019-1348447,2019-02-08 00:00:00,2019-02-10 00:00:00,ファースト クラス,駒静-19285,駒田 静香,消費者,雲南市,島根県,日本,中国地方,事務用-紙-10001359,事務用品,紙,"サンディスク 事務用品, リサイクル",16110,5,0,5630,35.4723,133.0505,雨宮 武,30000000,
2259,JP-2016-1001799,2016-02-12 00:00:00,2016-02-17 00:00:00,通常配送,関海-16930,関森 海斗,大企業,川口市,埼玉県,日本,関東地方,家具-テー-10003918,家具,テーブル,"Hon 丸型テーブル, 黒",96303.2,4,0.3,-34400.8,35.8569,139.6489,中吉 孝,50000000,
2260,JP-2018-1316757,2018-05-18 00:00:00,2018-05-22 00:00:00,通常配送,二翔-13375,二川 翔太,消費者,北上市,岩手県,日本,東北地方,事務用-保管-10001523,事務用品,保管箱,"Rogers 棚, フル サイズ",7459.2,3,0.4,-4717.8,39.7036,141.1527,駒田 静香,20000000,○
2261,JP-2016-1948198,2016-09-09 00:00:00,2016-09-09 00:00:00,即日配送,細義-20530,細川 義雄,消費者,大和市,神奈川県,日本,関東地方,事務用-ラベ-10000649,事務用品,ラベル,"Hon 輸送用ラベル, 白",758,1,0,30,35.4478,139.6425,中吉 孝,50000000,
2262,JP-2016-1948198,2016-09-09 00:00:00,2016-09-09 00:00:00,即日配送,細義-20530,細川 義雄,消費者,大和市,神奈川県,日本,関東地方,家具-家具-10003438,家具,家具,"Rubvermaid ドア ストッパー, マルチパック",8772,3,0,3066,35.4478,139.6425,中吉 孝,50000000,
2263,JP-2018-2123120,2018-10-11 00:00:00,2018-10-17 00:00:00,通常配送,福陸-15325,福田 陸,大企業,東村山郡中山町,山形県,日本,東北地方,事務用-アプ-10004752,事務用品,アプライアンス,"キッチンエイド コーヒーミル, 白",9148,2,0,3932,38.2404,140.3633,駒田 静香,20000000,
2264,JP-2018-2123120,2018-10-11 00:00:00,2018-10-17 00:00:00,通常配送,福陸-15325,福田 陸,大企業,東村山郡中山町,山形県,日本,東北地方,家電-コピ-10002086,家電,コピー機,"シャープ インク, カラー",16780,2,0,4864,38.2404,140.3633,駒田 静香,20000000,
2265,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,事務用-保管-10002237,事務用品,保管箱,"Rogers ボックス, メタル",15360,10,0,1680,34.6937,135.5023,金児 皐,50000000,
2266,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,家具-椅子-10001010,家具,椅子,"Novimex ビーチ チェア, 2 つセット",9642,3,0,3084,34.6937,135.5023,金児 皐,50000000,
2267,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,事務用-バイ-10001995,事務用品,バインダー,"ウィルソン・ジョーンズ とじ機, リサイクル",19728,6,0,5712,34.6937,135.5023,金児 皐,50000000,
2268,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,家具-椅子-10004632,家具,椅子,"Hon ビーチ チェア, 黒",5696,2,0,2332,34.6937,135.5023,金児 皐,50000000,
2269,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,家具-椅子-10001297,家具,椅子,"Office Star ロッキング チェア, 2 つセット",19088,2,0,1524,34.6937,135.5023,金児 皐,50000000,
2270,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,事務用-封筒-10003472,事務用品,封筒,"GlobeWeis 各種封筒, 50 枚セット",5140,2,0,308,34.6937,135.5023,金児 皐,50000000,
2271,JP-2017-1062072,2017-08-11 00:00:00,2017-08-15 00:00:00,通常配送,荒剛-21475,荒川 剛,小規模事業所,和泉市,大阪府,日本,関西地方,家具-本棚-10003556,家具,本棚,"Sauder 本棚, 従来型",29364,3,0,7632,34.6937,135.5023,金児 皐,50000000,
2272,JP-2019-2125170,2019-06-09 00:00:00,2019-06-10 00:00:00,ファースト クラス,須夏-19645,須藤 夏希,大企業,厚木市,神奈川県,日本,関東地方,家具-テー-10004527,家具,テーブル,"Chromcraft 会議机, 組み立て済み",122379.6,3,0.3,-52193.4,35.4478,139.6425,中吉 孝,50000000,
2273,JP-2019-2125170,2019-06-09 00:00:00,2019-06-10 00:00:00,ファースト クラス,須夏-19645,須藤 夏希,大企業,厚木市,神奈川県,日本,関東地方,事務用-ラベ-10004002,事務用品,ラベル,"Smead 丸型ラベル, 高耐久性",2430,5,0,920,35.4478,139.6425,中吉 孝,50000000,
2274,JP-2019-2126199,2019-08-15 00:00:00,2019-08-17 00:00:00,セカンド クラス,小皐-20410,小塙 皐,消費者,新宿区,東京都,日本,関東地方,家電-電話-10003063,家電,電話機,"サムスン オーディオ ドック, 各種サイズ",48076,5,0.15,-8059,35.6895,139.6917,中吉 孝,50000000,
2275,JP-2018-1207948,2018-08-16 00:00:00,2018-08-21 00:00:00,通常配送,有葵-11380,有田 葵,大企業,茨木市,大阪府,日本,関西地方,家具-テー-10001909,家具,テーブル,"Bevis 教育用机, 組み立て済み",17944,1,0.2,-4401,34.6937,135.5023,金児 皐,50000000,
2276,JP-2018-1207948,2018-08-16 00:00:00,2018-08-21 00:00:00,通常配送,有葵-11380,有田 葵,大企業,茨木市,大阪府,日本,関西地方,事務用-封筒-10003906,事務用品,封筒,"GlobeWeis 茶封筒, 50 枚セット",5478,3,0,600,34.6937,135.5023,金児 皐,50000000,
2277,JP-2018-1207948,2018-08-16 00:00:00,2018-08-21 00:00:00,通常配送,有葵-11380,有田 葵,大企業,茨木市,大阪府,日本,関西地方,家電-付属-10001848,家電,付属品,"ベルキン マウス, リサイクル",2568,1,0,1128,34.6937,135.5023,金児 皐,50000000,
2278,JP-2018-1207948,2018-08-16 00:00:00,2018-08-21 00:00:00,通常配送,有葵-11380,有田 葵,大企業,茨木市,大阪府,日本,関西地方,家具-家具-10000918,家具,家具,"Eldon ドア ストッパー, 黒",16720,5,0,7180,34.6937,135.5023,金児 皐,50000000,
2279,JP-2019-1199017,2019-10-10 00:00:00,2019-10-13 00:00:00,セカンド クラス,松彩-20305,松家 彩花,消費者,茨木市,大阪府,日本,関西地方,事務用-封筒-10004813,事務用品,封筒,"Ames クラフト封筒, リサイクル",800,2,0,240,34.6937,135.5023,金児 皐,50000000,
2280,JP-2016-1385890,2016-11-18 00:00:00,2016-11-19 00:00:00,ファースト クラス,河昭-17455,河江 昭夫,消費者,新宿区,東京都,日本,関東地方,事務用-紙-10001998,事務用品,紙,"Eaton 硫酸紙, 12 パック",997.9,1,0.15,-60.1,35.6895,139.6917,中吉 孝,50000000,
2281,JP-2016-1385890,2016-11-18 00:00:00,2016-11-19 00:00:00,ファースト クラス,河昭-17455,河江 昭夫,消費者,新宿区,東京都,日本,関東地方,事務用-バイ-10004263,事務用品,バインダー,"ウィルソン・ジョーンズ バインダー カバー, クリア",1207,2,0.15,311,35.6895,139.6917,中吉 孝,50000000,
2282,JP-2016-1385890,2016-11-18 00:00:00,2016-11-19 00:00:00,ファースト クラス,河昭-17455,河江 昭夫,消費者,新宿区,東京都,日本,関東地方,事務用-ラベ-10001071,事務用品,ラベル,"Hon 法的提出用ラベル, 赤",3631.2,6,0.15,295.2,35.6895,139.6917,中吉 孝,50000000,
2283,JP-2017-2095007,2017-01-14 00:00:00,2017-01-18 00:00:00,セカンド クラス,上大-19045,上園 大輝,小規模事業所,加古川市,兵庫県,日本,関西地方,事務用-クリ-10002740,事務用品,クリップ,"Accos クランプ, 大容量パック",7752,6,0,540,34.6913,135.183,金児 皐,50000000,
2284,JP-2017-2095007,2017-01-14 00:00:00,2017-01-18 00:00:00,セカンド クラス,上大-19045,上園 大輝,小規模事業所,加古川市,兵庫県,日本,関西地方,事務用-紙-10004173,事務用品,紙,"ゼロックス リーム, リサイクル",8750,5,0,260,34.6913,135.183,金児 皐,50000000,
2285,JP-2017-2095007,2017-01-14 00:00:00,2017-01-18 00:00:00,セカンド クラス,上大-19045,上園 大輝,小規模事業所,加古川市,兵庫県,日本,関西地方,家電-コピ-10000738,家電,コピー機,"HP コピー機, 2 つセット",64984,4,0,3896,34.6913,135.183,金児 皐,50000000,
2286,JP-2019-1488222,2019-11-05 00:00:00,2019-11-10 00:00:00,通常配送,須弘-14695,須見 弘子,大企業,周南市,山口県,日本,中国地方,家電-付属-10000174,家電,付属品,"エナーマックス メモリ カード, リサイクル",31416,7,0.4,2618,34.1859,131.4714,雨宮 武,30000000,
2287,JP-2019-1488222,2019-11-05 00:00:00,2019-11-10 00:00:00,通常配送,須弘-14695,須見 弘子,大企業,周南市,山口県,日本,中国地方,家電-付属-10000608,家電,付属品,"ベルキン キーボード, リサイクル",16338,5,0.4,-10622,34.1859,131.4714,雨宮 武,30000000,
2288,JP-2017-1323745,2017-03-21 00:00:00,2017-03-26 00:00:00,通常配送,小皐-20905,小濱 皐,消費者,松阪市,三重県,日本,関西地方,事務用-紙-10000451,事務用品,紙,"Green Bar スケジュール帳, 12 パック",3351.6,3,0.4,-452.4,34.7303,136.5086,金児 皐,50000000,
